date,units_sold,price,region,year,month,peak
2015-07-26,5.12658884,1.07,West,2015,7,1
2015-07-26,2.66442422,1.15,Midsouth,2015,7,1
2015-07-26,3.13569838,1.1,Great_Lakes,2015,7,1
2015-07-26,30.65221108,1.07,Total_US,2015,7,1
2015-07-26,3.75752471,1.28,Northeast,2015,7,1
2015-07-26,2.74294966,1.15,Southeast,2015,7,1
2015-07-26,0.40279186,1.25,Northern_New_England,2015,7,1
2015-07-26,1.84488726,1.04,Plains,2015,7,1
2015-08-02,2.75208197,1.14,Midsouth,2015,8,0
2015-08-02,5.45104076,1.02,West,2015,8,0
2015-08-02,3.16244764,1.14,Great_Lakes,2015,8,0
2015-08-02,0.41708292,1.25,Northern_New_England,2015,8,0
2015-08-02,4.15465867,1.19,Northeast,2015,8,0
2015-08-02,5.14233564,0.9,SouthCentral,2015,8,0
2015-08-02,2.67463313,1.18,Southeast,2015,8,0
2015-08-02,1.59303118,1.13,Plains,2015,8,0
2015-08-02,30.35846788,1.09,Total_US,2015,8,0
2015-08-09,2.71071015,1.15,Midsouth,2015,8,0
2015-08-09,4.78633413,1.1,Northeast,2015,8,0
2015-08-09,1.60591377,1.14,Plains,2015,8,0
2015-08-09,5.5314882,1.01,West,2015,8,0
2015-08-09,3.80485111,1,Southeast,2015,8,0
2015-08-09,33.25491187,1.05,Total_US,2015,8,0
2015-08-09,0.57922647,1.03,Northern_New_England,2015,8,0
2015-08-09,5.35339356,0.89,SouthCentral,2015,8,0
2015-08-09,3.23013965,1.12,Great_Lakes,2015,8,0
2015-08-16,4.22143538,1.17,Northeast,2015,8,0
2015-08-16,5.71813941,0.98,West,2015,8,0
2015-08-16,2.76639111,1.16,Southeast,2015,8,0
2015-08-16,5.40982302,0.89,SouthCentral,2015,8,0
2015-08-16,31.93685618,1.05,Total_US,2015,8,0
2015-08-16,2.82340523,1.14,Midsouth,2015,8,0
2015-08-16,3.65337607,1.03,Great_Lakes,2015,8,0
2015-08-16,0.372516,1.23,Northern_New_England,2015,8,0
2015-08-16,1.72785185,1.08,Plains,2015,8,0
2015-08-23,2.58070547,1.16,Southeast,2015,8,0
2015-08-23,5.19757846,1.04,West,2015,8,0
2015-08-23,29.69984561,1.08,Total_US,2015,8,0
2015-08-23,1.73157498,1.06,Plains,2015,8,0
2015-08-23,0.40010177,1.18,Northern_New_England,2015,8,0
2015-08-23,4.14622081,1.13,Northeast,2015,8,0
2015-08-23,2.7658381,1.12,Midsouth,2015,8,0
2015-08-23,5.23557944,0.89,SouthCentral,2015,8,0
2015-08-23,2.84912729,1.14,Great_Lakes,2015,8,0
2015-08-30,2.53519278,1.18,Midsouth,2015,8,0
2015-08-30,1.48115017,1.13,Plains,2015,8,0
2015-08-30,2.5446305,1.19,Southeast,2015,8,0
2015-08-30,5.20025265,0.87,SouthCentral,2015,8,0
2015-08-30,0.39512718,1.13,Northern_New_England,2015,8,0
2015-08-30,3.38880379,1.04,Great_Lakes,2015,8,0
2015-08-30,3.82596651,1.2,Northeast,2015,8,0
2015-08-30,29.76163848,1.07,Total_US,2015,8,0
2015-08-30,5.13825691,1.03,West,2015,8,0
2015-09-06,1.71465022,1.12,Plains,2015,9,0
2015-09-06,4.08806171,1.18,Northeast,2015,9,0
2015-09-06,5.90075195,0.93,West,2015,9,0
2015-09-06,0.50820779,1.01,Northern_New_England,2015,9,0
2015-09-06,3.75071449,0.97,Southeast,2015,9,0
2015-09-06,33.52648008,1.02,Total_US,2015,9,0
2015-09-06,5.97952824,0.86,SouthCentral,2015,9,0
2015-09-06,3.27255501,1.07,Great_Lakes,2015,9,0
2015-09-06,3.01382575,1.08,Midsouth,2015,9,0
2015-09-13,4.20529458,1.14,Northeast,2015,9,0
2015-09-13,2.81480306,1.09,Midsouth,2015,9,0
2015-09-13,31.24583565,1.03,Total_US,2015,9,0
2015-09-13,1.5269853,1.13,Plains,2015,9,0
2015-09-13,2.48665471,1.15,Southeast,2015,9,0
2015-09-13,0.35610525,1.09,Northern_New_England,2015,9,0
2015-09-13,5.81126029,0.92,West,2015,9,0
2015-09-13,5.76184867,0.88,SouthCentral,2015,9,0
2015-09-13,3.53248092,1.03,Great_Lakes,2015,9,0
2015-09-20,5.21173831,0.83,SouthCentral,2015,9,0
2015-09-20,3.33624524,1.02,Great_Lakes,2015,9,0
2015-09-20,1.38695196,1.16,Plains,2015,9,0
2015-09-20,3.49641209,0.96,Southeast,2015,9,0
2015-09-20,2.44726474,1.13,Midsouth,2015,9,0
2015-09-20,5.59609103,0.92,West,2015,9,0
2015-09-20,0.32272994,1.17,Northern_New_England,2015,9,0
2015-09-20,29.56908656,1.02,Total_US,2015,9,0
2015-09-20,3.334592,1.21,Northeast,2015,9,0
2015-09-27,4.98738136,0.87,SouthCentral,2015,9,0
2015-09-27,1.54265796,0.99,Plains,2015,9,0
2015-09-27,2.31405746,1.17,Southeast,2015,9,0
2015-09-27,3.7390727,1.13,Northeast,2015,9,0
2015-09-27,2.77007476,1.1,Great_Lakes,2015,9,0
2015-09-27,0.45860259,0.98,Northern_New_England,2015,9,0
2015-09-27,2.39061102,1.11,Midsouth,2015,9,0
2015-09-27,4.79286829,0.97,West,2015,9,0
2015-09-27,27.75350814,1.03,Total_US,2015,9,0
2015-10-04,0.29822253,1.12,Northern_New_England,2015,10,0
2015-10-04,2.81467893,1.05,Great_Lakes,2015,10,0
2015-10-04,2.23393594,1.18,Midsouth,2015,10,0
2015-10-04,28.24350552,1.02,Total_US,2015,10,0
2015-10-04,3.5851833,1.21,Northeast,2015,10,0
2015-10-04,4.89548563,1,West,2015,10,0
2015-10-04,3.25965928,0.98,Southeast,2015,10,0
2015-10-04,5.20153532,0.84,SouthCentral,2015,10,0
2015-10-04,1.30924588,1.14,Plains,2015,10,0
2015-10-11,1.56084555,1.05,Plains,2015,10,0
2015-10-11,2.32975767,1.13,Midsouth,2015,10,0
2015-10-11,5.53445099,0.91,West,2015,10,0
2015-10-11,29.21619815,1,Total_US,2015,10,0
