Plant,Year,Month,Day,Hour,Cost
Bowen,2007,7,20,18,20.56839176
Bowen,2007,7,20,19,20.14955713
Bowen,2007,7,20,20,20.48376552
Bowen,2007,7,20,21,23.95558645
Bowen,2007,7,20,22,33.47639494
Bowen,2007,7,20,23,35.75018897
Bowen,2007,7,20,24,30.9956584
Bowen,2007,7,21,1,25.56160843
Bowen,2007,7,21,2,20.59266669
Bowen,2007,7,21,3,15.31820305
Bowen,2007,7,21,4,9.847746133
Bowen,2007,7,21,5,7.316921521
Bowen,2007,7,21,6,6.291252208
Bowen,2007,7,21,7,5.94430021
Bowen,2007,7,21,8,5.685327999
Bowen,2007,7,21,9,5.058693225
Bowen,2007,7,21,10,4.500890999
Bowen,2007,7,21,11,4.100808705
Bowen,2007,7,21,12,3.499904778
Bowen,2007,7,21,13,3.431376821
Bowen,2007,7,21,14,3.308489304
Bowen,2007,7,21,15,3.845290698
Bowen,2007,7,21,16,5.607996023
Bowen,2007,7,21,17,7.493031577
Bowen,2007,7,21,18,10.10658019
Bowen,2007,7,21,19,14.15039172
Bowen,2007,7,21,20,20.98134697
Bowen,2007,7,21,21,31.0512438
Bowen,2007,7,21,22,41.57287385
Bowen,2007,7,21,23,47.55258212
Bowen,2007,7,21,24,44.20655197
Bowen,2007,7,22,1,33.97639429
Bowen,2007,7,22,2,24.97434292
Bowen,2007,7,22,3,20.17660234
Bowen,2007,7,22,4,18.17781733
Bowen,2007,7,22,5,16.87342611
Bowen,2007,7,22,6,15.42039866
Bowen,2007,7,22,7,10.98069627
Bowen,2007,7,22,8,7.729580622
Bowen,2007,7,22,9,5.788457432
Bowen,2007,7,22,10,4.570072078
Bowen,2007,7,22,11,3.702559307
Bowen,2007,7,22,12,2.681215254
Bowen,2007,7,22,13,2.369033708
Bowen,2007,7,22,14,2.335698757
Bowen,2007,7,22,15,2.374934893
Bowen,2007,7,22,16,3.394989302
Bowen,2007,7,22,17,4.100708812
Bowen,2007,7,22,18,4.057222077
Bowen,2007,7,22,19,4.423022723
Bowen,2007,7,22,20,5.683666882
Bowen,2007,7,22,21,7.165220287
Bowen,2007,7,22,22,8.534165664
Bowen,2007,7,22,23,9.116396597
Bowen,2007,7,22,24,7.505483009
Bowen,2007,7,23,1,4.82725002
Bowen,2007,7,23,2,3.22009585
Bowen,2007,7,23,3,1.9422654
Bowen,2007,7,23,4,1.156952322
Bowen,2007,7,23,5,0.754914921
Bowen,2007,7,23,6,0.428673762
Bowen,2007,7,23,7,0.230067461
Bowen,2007,7,23,8,0.135333942
Bowen,2007,7,23,9,0.080594499
Bowen,2007,7,23,10,0.048690916
Bowen,2007,7,23,11,0.029849967
Bowen,2007,7,23,12,0.017676106
Bowen,2007,7,23,13,0.012247896
Bowen,2007,7,23,14,0.00748843
Bowen,2007,7,23,15,0.100698368
Bowen,2007,7,23,16,0.877160339
Bowen,2007,7,23,17,2.498753435
Bowen,2007,7,23,18,4.000203223
Bowen,2007,7,23,19,4.351146408
Bowen,2007,7,23,20,4.227048303
Bowen,2007,7,23,21,4.29498664
Bowen,2007,7,23,22,4.644663206
Bowen,2007,7,23,23,5.096757178
Bowen,2007,7,23,24,5.386137056
Bowen,2007,7,24,1,5.141935008
Bowen,2007,7,24,2,5.477274109
Bowen,2007,7,24,3,6.409018047
Bowen,2007,7,24,4,6.179618365
Bowen,2007,7,24,5,5.060428514
Bowen,2007,7,24,6,3.821370563
Bowen,2007,7,24,7,2.218517655
Bowen,2007,7,24,8,1.32096031
Bowen,2007,7,24,9,0.777249508
Bowen,2007,7,24,10,0.45536386
Bowen,2007,7,24,11,0.257111188
Bowen,2007,7,24,12,0.161486535
Bowen,2007,7,24,13,0.099398093
Bowen,2007,7,24,14,0.080751601
Bowen,2007,7,24,15,0.323869668
Bowen,2007,7,24,16,1.910815982
Bowen,2007,7,24,17,3.42822514
Bowen,2007,7,24,18,4.836283357
Bowen,2007,7,24,19,6.326234236
Bowen,2007,7,24,20,8.102615706
Bowen,2007,7,24,21,10.14520939
Bowen,2007,7,24,22,11.84191831
Bowen,2007,7,24,23,13.93787463
Bowen,2007,7,24,24,14.84651952
Bowen,2007,7,25,1,15.33234052
Bowen,2007,7,25,2,14.27711642
Bowen,2007,7,25,3,11.12367461
Bowen,2007,7,25,4,8.196098466
Bowen,2007,7,25,5,6.378410394
Bowen,2007,7,25,6,6.238561272
Bowen,2007,7,25,7,6.37385842
Bowen,2007,7,25,8,6.796329788
Bowen,2007,7,25,9,6.409885971
Bowen,2007,7,25,10,5.569502276
Bowen,2007,7,25,11,4.745058374
Bowen,2007,7,25,12,4.35504285
Bowen,2007,7,25,13,3.905412389
